question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
"Find out the incorrect statement, if any, in the following:

An angle is formed when we have
(a) two rays with a common end-point

(b) two line segments with a common end-point

(c) a ray and a line segment with a common end-point",NA,"Angle is made by two rays or lines having a common end point. So, option (b) and (c) are incorrect.",Q. 55,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/15305216514991100.png""/>
In which of the following figures (Fig. 2.35),
(a) perpendicular bisector is shown?

(b) bisector is shown?

(c) only bisector is shown?

(d) only perpendicular is shown?",NA,"A bisector is a line which bisects a given line segment into two equal parts. If this bisector is perpendicular to the given line segment, then it is known as perpendicular bisector.
(a) Figure (ii) represents a perpendicular bisector.

(b) Figures (ii) and (iii) represents bisectors.

(c) Figure (iii) represents only bisector.

(d) Figure (i) represents only perpendicular.",Q. 56,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521652210599.png""/>
What is common in the following figures (i) and (ii) (Fig. 2.36.)?



Is Fig. 2.36 (i) that of triangle? if not, why?",NA,"Both the figures have three lines segments.
Figure (i) is not a triangle because it is not a closed figure.",Q. 57,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If two rays intersect, will their point of intersection be the vertex ofan angle of which the rays are the two sides?",NA,"No, because angle is made when two rays intersect at common point. The common point is known as vertex of an angle.",Q. 58,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/153052165292729.png""/>
In Fig. 2.37,
(a) name any four angles that appear to be acute angles.

(b) name any two angles that appear to be obtuse angles.",NA,"(a) The four angles that appear to be acute angles are ∠ AEB, ∠ ADE, ∠ BAE and ∠ BCE.

BCD and ∠ BAD are angles that appear to be obtuse angles.",Q. 59,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521653656249.png""/>
In Fig. 2.38,
(a) is AC + CB = AB?

(b) is AB + AC = CB?

(c) is AB + BC = CA?",NA,"(a) Yes

(b) No, it is not possible

(c) No, it is not possible",Q. 60,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521654379419.png""/>
In Fig. 2.39.
(a) What is AE + EC?

(b) What is AC – EC?

(c) What is BD – BE?


(d) What is BD – DE?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521654379419.png""/>
AE + EC = AC

AC – EC = AE

BD – BE = ED

BD – DE = BE",Q. 61,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521655106889.png""/>
Using the information given, name the right angles in each part of Fig. 2.40:

Fig. 2.40
(a) BA ⊥BD

(b) RT ⊥ST

(c) AC ⊥BD

(d) RS ⊥RW

(e) AC ⊥BD

(f) AE ⊥CE

(g) AC ⊥CD

(h) OP ⊥AB

Fig. 2.40",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521655106889.png""/>
A right angle is an angle of measure 90°. It is formed by two perpendicular lines.
ABD because BA ⊥ BD

RTS because RT ⊥ ST

ACD and ∠ ACB because AC ⊥ BD

RTW and ∠ RTS because RT ⊥ SW

AED, ∠ AEB, ∠ BEC and ∠ DEC because diagonals of rhombus are perpendicular to each other.
So AC ⊥ BD and E is their point of intersection.

AEC because AE ⊥ CE as diagonals of rhombus are perpendicular to each other.

ACD because AC ⊥ CD

AKO, ∠ AKP, ∠ BKO and ∠ BKP because OP ⊥ AB and K is their point of intersection.",Q. 62,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521660831680.png""/>
What conclusion can be drawn from each part of Fig. 2.41, if
(a) DB is the bisector of ∠ADC?



(b) BD bisects ∠ABC?



(c) DC is the bisector of ∠ADB, CA ⊥ DA and CB ⊥ DB?",NA,"a) Since, DB is the bisector of ∠ ADC.

This means that DB divides ∠ ADC into 2 equal parts.

ADB = ∠ BDC

b) Since, BD bisects ∠ ABC.

This means that, ∠ ABD = ∠ DBC.

c) Since, DC is the bisector of ∠ ADB

ADC = ∠ CDB ………….. (1)

Also, it is given that,

CAD = ∠ CBD = 90° ……….. (2)

Also, we know that sum of interior angles of a triangle is equal to 180°.

In Δ ACD,

ACD+∠ CDA+ ∠ DAC =180° …. (3)

In Δ BCD,

BCD+∠ CDB+∠ DBC =180° …. (4)

From (1), (2), (3), (4) we get,

ACD = ∠ BCD",Q. 63,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521663063388.png""/>
An angle is said to be trisected, if it is divided into three equal parts. If in Fig. 2.42, ∠BAC = ∠CAD = ∠DAE, how many trisectors are there for ∠BAE?",NA,"Trisectors are the lines which trisect an angle (or which divide an angle into 3 equal parts).

So, here we have two trisectors for ∠ BAE: AC and AD.",Q. 64,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521663773927.png""/>
How many points are marked in Fig. 2.43?",NA,There are 2 points: A and B.,Q. 65,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
How many line segments are there in Fig. 2.43?,NA,There is only one line segment: AB.,Q. 66,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521664453845.png""/>
In Fig. 2.44, how many points are marked? Name them.",NA,"There are 3 points: A, B, C.",Q. 67,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521665472118.png""/>
How many line segments are there in Fig. 2.44? Name them.",NA,"There are 3 line segments: AB, BC, and AC.",Q. 68,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521666188356.png""/>
In Fig. 2.45 how many points are marked? Name them.",NA,"There are 4 points: A, B, C, D.",Q. 69,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/15305216669143.png""/>
In Fig. 2.45 how many line segments are there? Name them.",NA,"There are total 6 line segments:

AB, AC, AD, BC, BD, CD.",Q. 70,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521667622987.png""/>
In Fig. 2.46, how many points are marked? Name them.",NA,"There are 5 points: A, B, C, D and E.",Q. 71,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/153052166833484.png""/>
In Fig. 2.46 how many line segments are there? Name them.",NA,"There are total 10 line segments:

AB, AD, AE, AC, BD, BE, BC, DE, DC, EC.",Q. 72,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521669012780.png""/>
In Fig. 2.47, O is the centre of the circle.
(a) Name all chords of the circle.

(b) Name all radii of the circle.

(c) Name a chord, which is not the diameter of the circle.

(d) Shade sectors OAC and OPB.

(e) Shade the smaller segment of the circle formed by CP.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521669744193.png""/>
(a) Chords: PC and AB (longest chord i.e. diameter).

(b) Radii: OA, OB, OC and OP (radii are those whose one end point lies on the circumference of the circle and other end coincides with the centre of the circle.

(c) PC


Region shaded in green colour represents sector (OPB) and region shaded in red colour represents sector (OAC).


Region shaded in green represents the smaller segment of the circle formed by CP.",Q. 73,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Can we have two acute angles whose sum is
(a) an acute angle? Why or why not?

(b) a right angle? Why or why not?

(c) an obtuse angle? Why or why not?

(d) a straight angle? Why or why not?

(e) a reflex angle? Why or why not?",NA,"(a) Yes, we can have two acute angles whose sum is an acute angle.

We know that,

Acute angle is one that measures between 0° and 90°.

So, suppose we have two acute angles 30° and 40° then, sum of these two would be 70° and this lies between 0° and 90° therefore 70° is also acute .

You can think of more such examples.

[Note: basically, when two consider two acute angles smaller than 45° then their sum would always be smaller than 90° and so angle obtained will be acute.]

(b) Yes, we can have two acute angles whose sum is a right angle.

Example: 30° + 60° = 90°

45° + 45° = 90°

(c) Yes, we can have two acute angles whose sum is an obtuse angle.

We know that,

Acute angle is one that measures between 0° and 90°.

And obtuse angle is one that measures between 90° and 180°.

So, suppose we have two acute angles 50° and 60° then, sum of these two would be 110° and this lies between 90° and 180° therefore 110° is an obtuse angle .

You can think of more such examples.

[Note: basically, when two consider two acute angles greater than 45° then their sum would always be greater than 90° and so angle obtained will be obtuse.]

(d) No, we can have two acute angles whose sum is a straight angle.

We know that,

Acute angle is one that measures between 0° and 90°.

And straight angle measures 180°

If we take two 90° angles then we can obtain a straight angle but 90° is not an acute angle. So, in any case we cannot obtain a straight angle using two acute angles.

[Note: measure of acute angle is always less than 90° and on adding two 90° angles we are obtaining a straight angle. So, if we add any other acute angles then their sum would always be less than 180°.]

(e) No, we can have two acute angles whose sum is a straight angle.

We know that,

Acute angle is one that measures between 0° and 90°.

And reflex angle measures between 180° and 360°

If we take two 90° angles then we can obtain a 180° angle but 90° is not an acute angle. So, in any case we cannot obtain an angle which is greater than 180° (or a reflex angle).

[Note: measure of acute angle is always less than 90° and on adding two 90° angles we are obtaining a straight angle. So, if we add any other acute angles then their sum would always be less than 180°.]",Q. 74,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Can we have two obtuse angles whose sum is
(a) a reflex angle? Why or why not?

(b) a complete angle? Why or why not?",NA,"a) Yes, we can have two obtuse angles whose sum is a reflex angle.

We know that,

Obtuse angle is one that measures between 90° and 180°.

Reflex angle is one that measures between 180° and 360°.

So, suppose we have two obtuse angles of measure 100° and 105° then their sum 205° lies between 180° and 360° and ∴ is a reflex angle.

You can think of more such examples.

b) No, we cannot have two obtuse angles whose sum is a complete angle.

We know that,

Complete angle measures 360° and obtuse angle is one that measures between 90° and 180°.

If we take two 180° angles then we can obtain a complete angle but 180° is not an obtuse angle. So, in any case we cannot obtain a complete angle using two obtuse angles.",Q. 75,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521671777621.jpg""/>
Write the name of
(a) vertices

(b) edges, and

(c) faces of the prism shown in Fig. 2.48.",NA,"a) Vertices: A, B, C, D, E, F

b) Edges: AB, BC, AC, DE, EF, DF, AE, BD, CF

c) Faces: Two triangular faces – ABC, DEF and three rectangular faces – BDFC, ACFE, ABDE",Q. 76,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"How many edges, faces and vertices are there in a sphere?",NA,"A sphere has a curved surface so, there are no flat surfaces.

No. of Faces = 0

Also, there are no line segments or joints.

Number of Edges = 0

And Number of Vertices = 0",Q. 77,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
Draw all the diagonals of a pentagon ABCDE and name them.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18433/1530521672507978.png""/>
So, Diagonals of the pentagon ABCDE are: AC, AD, BD, BE, CE (Shown by black line segments)",Q. 78,exercise,https://school.gradeup.co/number-of-lines-passing-through-five-points-such-that-no-i-1nkkws,2. Geometry,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Every integer less than 0 has the sign
","A. +

B. –

C. ×

D. ÷",On the number line every number to the left of zero is represented with a ‘-‘ sign.,Q. 1,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The integer ‘5 units to the right of 0 on the number line’ is
","A. +5

B. –5

C. +4

D. – 4",On the number line every number to the right of zero is represented with a ‘+‘ sign. Thus at a distance of 5 units there is +5.,Q. 2,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The predecessor of the integer –1 is
","
A. 0

B. 2
C. –2
D. 1",Predecessor means before. To find the predecessor subtract one from the number. Thus the number before -1 on the number line is -2.,Q. 3,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Number of integers lying between –1 and 1 is,NA,Zero is the only integer between -1 and 1.,Q. 4,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Number of whole numbers lying between –5 and 5 is
","A. 10
B. 3
C. 4
D. 5","Since whole numbers begin only from 0, thus 0,1,2,3,4 are the numbers between -5 and 5. Thus there are only 5 numbers.",Q. 5,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The greatest integer lying between –10 and –15 is
","A. –10

B. –11

C. –15

D. –14",In the case of negative numbers of the higher the number the lower the value. Thus the least value is the greatest and it is -11.,Q. 6,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The least integer lying between –10 and –15 is
","A. –10

B. –11

C. –15

D. –14","In case of negative numbers, higher the number lower the value. Thus -14 is least integer.",Q. 7,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On the number line, the integer 5 is located
","A. to the left of 0

B. to the right of 0

C. to the left of 1

D. to the left of –2",5 is a positive number and thus is to the right of 0 on the number.,Q. 8,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In which of the following pairs of integers, the first integer is not on the left of the other integer on the number line?
","A. (–1, 10)

B. (–3, –5)

C. (–5, –3)

D. (–6, 0)",It is the only case where the first integer is greater than the second integer.,Q. 9,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The integer with negative sign (–) is always less than
","A. 0

B. –3
C. –1
D. –2",All the negative numbers lie to the left of zero on the number line. Thus any number with – sign is always less than 0.,Q. 10,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
An integer with positive sign (+) is always greater than,NA,"All positive numbers lie to the right of zero, thus they are greater than 0.",Q. 11,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The successor of the predecessor of –50 is
","A. –48

B. –49

C. –50

D. –51","To find the successor we add 1 to find the predecessor we subtract 1, thus we get -50 + 1 -1 = -50. Since they cancel each other out, the answer -50.",Q. 12,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The additive inverse of a negative integer
","A. is always negative

B. is always positive

C. is the same integer

D. Zero","Additive inverse of a number means, if we add the additive inverse to the number we get 0. Thus for any negative integer, we have to add a positive integer to make it zero.",Q. 13,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Amulya and Amar visited two places A and B respectively in Kashmir and recorded the minimum temperatures on a particular day as –4°C at A and –1°C at B. Which of the following statement is true?
","A. A is cooler than B

B. B is cooler than A

C. There is a difference of 2°C in the temperature

D. The temperature at A is 4°C higher than that at B.","A is cooler than B, since -4 is lesser than -1 as it lies to the left of -1. Option C is wrong since the difference between them is 3 and not 2. Option D is incorrect since A is 3 degrees lesser than B and not 4 degrees higher.",Q. 14,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"When a negative integer is subtracted from another negative integer, the sign of the result
","A. is always negative

B. is always positive

C. is never negative

D. depends on the numerical value of the integers",The answer depends on the numerical value. Take for example -5. -5 – (-8) = -5 + 8 = +3. -5 – (-3) = -5 + 3 = -2. So we can get either a positive or negative value depending on the number.,Q. 15,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The statement “When an integer is added to itself, the sum is greater than the integer” is
","A. always true

B. never true

C. true only when the integer is positive

D. true for non-negative integers","This is true only for positive integers. Option D is incorrect since 0+0=0, and zero is not greater than itself.",Q. 16,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following shows the maximum rise in temperature?
","A. 0°C to 10°C

B. –4°C to 8°C

C. –15°C to –8°C

D. –7°C to 0°C","Option B has a difference of 8-(-4) = 8 + 4 = 12, while option A has a difference of 10, option C and D have difference of 7.",Q. 17,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The smallest natural number is zero.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605076290757.png""/>
The natural numbers are non-negative numbers.

Example:",Q. 18,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Zero is not an integer as it is neither positive nor negative.,NA,Zero is an integer. Though it is neither called negative or positive.,Q. 19,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of all the integers between –5 and –1 is –6.,NA,"The sum of the integers is:

-5 + (-1) = - 6

Same sign integers add and different sign integers subtract.",Q. 20,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The successor of the integer 1 is 0.,NA,"False, Successor of a number is obtained by adding 1 to it. So successor of 1 would be 2.",Q. 21,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every positive integer is larger than every negative integer.,NA,"True, Positive numbers are always greater than negative numbers.",Q. 22,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of any two negative integers is always greater than both the integers.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605077367143.png""/>
False, e.g. , the answer is less than both the integers.",Q. 23,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of any two negative integers is always smaller than both the integers.,NA,"True, As you can see in the previous example.",Q. 24,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of any two positive integers is greater than both the integers.,NA,"True, e.g. 21+12=31, 31 is greater than both the numbers.",Q. 25,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
All whole numbers are integers.,NA,"True, Whole Numbers are 0,1,2,3….. and Integers are -2,-1,0,1,2…. All whole Numbers are Integers.",Q. 26,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
All integers are whole numbers.,NA,"False, As you can see in the previous example, Integers are negative numbers too. But whole numbers are 0,1,2,3….",Q. 27,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Since 5 > 3, therefore –5 > –3",NA,"False, an integer on left side of given number is always smaller than the given number",Q. 28,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Zero is less than every positive integer.,NA,"True, Number on the left side of given number is always smaller than the given number. Zero is always on the left side of every positive number so it would be less than every positive number.",Q. 29,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Zero is larger than every negative integer.,NA,The number on the right side of the given number is always greater than the given number. Zero is on the right side of every negative number so it would be greater than the negative number.,Q. 30,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Zero is neither positive nor negative.,NA,Zero is neither positive nor negative.,Q. 31,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On the number line, an integer on the right of a given integer is always larger than the integer.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605078125853.jpg""/>
The number line is shown here:


You can see here, 6 is on the right side 5 so 6>5.",Q. 32,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
–2 is to the left of –5 on the number line.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/153060507884727.jpg""/>
False,

You can see in this figure.",Q. 33,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The smallest integer is 0.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605079570471.jpg""/>
False,

Integers are -3,-2,-1,0,1,2,3…. So 0 is not a smallest integer.",Q. 34,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
6 and –6 are at the same distance from 0 on the number line.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605080298219.jpg""/>
Clearly, We can see that -6 and 6 are at the same distance of 6 units from 0.",Q. 35,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The difference between an integer and its additive inverse is always even.,NA,"True, the additive inverse of a number a is the number that, when added to a, yields zero.

e.g. additive inverse of 12 is -12. Difference of these two is 12-(-12)=24, which is even.",Q. 36,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of an integer and its additive inverse is always zero.,NA,"True, the additive inverse of a number a is the number that, when added to a, yields zero.

So sum of integer and its additive integer is always zero.",Q. 37,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of two negative integers is a positive integer.,NA,"False, e.g. -12+(-23)=-35, sum is negative.",Q. 38,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The sum of three different integers can never be zero.,NA,"False, e.g. sum of 9, 2 and -11 is zero.",Q. 39,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On the number line, –15 is to the _______ of zero.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605081039226.jpg""/>
left
Negative integers lie on the left of zero.",Q. 40,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On the number line, 10 is to the _______ of zero.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605081742980.jpg""/>
right
Positive integers lie on the left of zero.",Q. 41,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
