question_text,options,solution_text,question_no,book,grade,subject,path,chapter,exercise
"Pick five objects from the word box given as Fig. 4.1 which are opaque and would sink in water.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18969/1531401856918583.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18969/1531401858172532.png""/></p>
i. The coin is heavier than water and things cannot be seen through it. Hence, it is opaque and would sink in water.
ii. Stone is heavier than water and things cannot be seen through it. Hence, it is opaque and would sink in water.
iii. The pencil is heavier than water and things cannot be seen through it. Hence, it is opaque and would sink in water.
iv. Eraser is also heavier than water and things cannot be seen through it. Hence, it is opaque and would sink in water.
v. Coal is heavier than water and things cannot be seen through it. Hence, it is opaque and sinks in water.
",Q. 21,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/pick-five-objects-from-the-word-box-given-as-fig-4-1-which-i-1nkn9e,4. Sorting Materials and Groups,Short Answer Questions
"chalk, iron, Wood, aluminium, candle, cotton usually look different from each other. Give some properties by which we can prove that materials are different.
",NA,"Chalk:
i. Chalk cannot be bent and compressed.
ii. It is rough on the surface.
iii. It is not lustrous and appears dull.
Iron:
i. Iron is a hard material.
ii. It cannot be bent, compressed and scratched.
iii. Its appearance is shiny.
Wood:
i. Wood is a hard material.
ii. It cannot be bent and compressed.
iii. Its appearance is dull
Aluminium:
i. Aluminium is a hard material.
ii. It cannot be bent and compressed.
iii. Its appearance is shiny.
Candle:
i. Candle is a soft material.
ii. It can be bent, compressed and scratched easily.
iii. Its appearance is dull.
Cotton:
i. Candle is a very soft material.
ii. It can be bent, compressed and scratched easily.
iii. Its appearance is dull.
",Q. 22,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/chalk-iron-wood-aluminium-candle-cotton-usually-look-i-1nkn9f,4. Sorting Materials and Groups,Long Answer Questions
"Why do you think oxygen dissolved in water is important for the survival of aquatic animals and plants?
",NA,"Oxygen dissolved in water is important for the survival of aquatic animals and plants because:
i. Oxygen gas is completely soluble in water.
ii. Plants and animals need oxygen for respiration and for breath.
iii. Therefore, oxygen gas is very important for them for their survival.
",Q. 23,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/why-do-you-think-oxygen-dissolved-in-water-is-important-for-i-1nkn9g,4. Sorting Materials and Groups,Long Answer Questions
"Differentiate among opaque, translucent and transparent materials, giving one example of each.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18969/1531401859360780.png""/></p>
",Q. 24,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/differentiate-among-opaque-translucent-and-transparent-i-1nkn9h,4. Sorting Materials and Groups,Long Answer Questions
"Sugar, salt, mustard oil, sand, sawdust, honey, chalk powder, petals of flower, soil, copper sulphate crystals, glucose, wheat flour are some substances given to paheli. She wants to know whether these substances are soluble in water or not. Help her in identifying soluble and insoluble substances in water.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18969/1531401860843963.png""/></p>
",Q. 25,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/sugar-salt-mustard-oil-sand-sawdust-honey-chalk-powder-i-1nkn9i,4. Sorting Materials and Groups,Long Answer Questions
"Paheli bought some vegetables such as French beans, lady’s finger, green chilies, brinjal and potatoes all mixed in a bag. Which of the following methods of separation would be most appropriate for her to separate them?
","A. Winnowing
B. Sieving
C. Threshing
D. Hand picking
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458694451937.jpg""/></p>
Hand picking is the method of separating easily identifiable material from a mixture. The components of the heterogeneous mixture can be separately identified from each other. And they can be separated from each other by by using hand picking. Thus vegetables can be easily identified and separated.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-bought-some-vegetables-such-as-french-beans-lady-s-i-1nkn9j,Separation of Substances,Multiple Choice Question
"Boojho’s grandmother is suffering from diabetes. Her doctor advised her to take ‘Lassi ‘with less fat content. Which of the following methods would be most appropriate for Boojho to prepare it?
","A. Filtration
B. Decantation
C. Churning
D. Winnowing
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458695436184.png""/></p>
Churning is a method from which cream i.e. fat content can be separated from the milk. So he should use churning process for preparing lassi.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/boojho-s-grandmother-is-suffering-from-diabetes-her-doctor-i-1nkn9k,Separation of Substances,Multiple Choice Question
"Which of the following mixtures would you be able to separate using the method of filtration?
","A. Oil in water
B. Cornflakes in milk
C. Salt in water
D. Sugar in milk
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458696403796.png""/></p>
Filtration method is used for separating insoluble substances from liquid. But a mixture of two liquids such as oil in water cannot be separated by this method. Also salt in water and sugar in milk are completely dissolved, so cannot be separated by filtration. So, cornflakes in milk can be separated by filtration.
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-mixtures-would-you-be-able-to-i-1nkn9l,Separation of Substances,Multiple Choice Question
"Which amongst the following methods would be most appropriate to separate grains from bundles of stalks?
","A. Hand picking
B. Winnowing
C. Sieving
D. Threshing
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458697589931.png""/></p>
The grains are separated from stalk (on which they grow) by the process of threshing. In this process stalks are beaten to separate grains from bundle of stalks. Being soft stalks can be broken and grains can be released.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-amongst-the-following-methods-would-be-most-i-1nkn9m,Separation of Substances,Multiple Choice Question
"Four mixture are given below
(i) Kidney beans and chick peas
(ii) Pulses and rice
(iii) Rice flakes and corn
(iv) Potato wafers and biscuits
Which of these can be separated by the method of winnowing?
","A. (i) and (ii)
B. (ii) and (iii)
C. (i) and (iii)
D. (iii) and (iv)
","(iii) Rice flakes and corn
(iv) Potato wafers and biscuits
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458699462350.png""/></p>
Winnowing is used to separate heavier and lighter components of a mixture by wind or by blowing air. Rice flakes and potato wafers are lighter substances in mixture, so these are separated from the given mixture by winnowing.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/four-mixture-are-given-below-i-kidney-beans-and-chick-peas-i-1nkn9n,Separation of Substances,Multiple Choice Question
"While preparing chapatis, paheli found that the flour to be used was mixed with wheat grains. Which out of the following is the most suitable method to separate the grains from the flour?
","A. Threshing
B. Sieving
C. Winnowing
D. Filtration
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458700902186.png""/></p>
The most suitable method to separate the grains from the flour is by sieving. Sieving is used to separate those solid mixture which have components of different sizes.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/while-preparing-chapatis-paheli-found-that-the-flour-to-be-i-1nkn9o,Separation of Substances,Multiple Choice Question
"You might have observed the preparation of ghee from butter and cream at home. Which method(s) can be used to separate ghee from the residue?
(i) Evaporation
(ii) Decantation
(iii) Filtration
(iv) Churning
Which of the following combination is the correct answer?
","A. (i) and (ii)
B. (ii) and (iii)
C. (ii) and (iv)
D. (iv) only
","(ii) Decantation
(iii) Filtration
Explanation:
by decantation and then by filtration ghee can be separated from the residue. Decantation is the process of pouring out the liquid without disturbing the sediment.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458702027755.png""/></p>
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/you-might-have-observed-the-preparation-of-ghee-from-butter-i-1nkn9p,Separation of Substances,Multiple Choice Question
"In an activity, a teacher dissolved a small amount of solid copper sulphate in a tumbler half filled with water. Which method would you use to get back solid back copper sulphate from the solution?
","A. Decantation
B. Evaporation
C. Sedimentation
D. Condensation
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458703451931.png""/></p>
By the process of evaporation we can get back solid copper sulphate from the solution. The process of evaporation for separating a mixture is based on the fact that liquids vaporize easily whereas solids do not.
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/in-an-activity-a-teacher-dissolved-a-small-amount-of-solid-i-1nkn9q,Separation of Substances,Multiple Choice Question
"During summer, Boojho carries water in a transparent plastic bottle to his school. The bottle still had some water left in it. The following day, He observed some water droplets on the inner surface day, he observed some water droplets on the inner surface of the empty portion of the bottle. These droplets of water were formed due to
","A. Boiling and condensation.
B. Evaporation and condensation.
C. Evaporation and saturation
D. Condensation and saturation.
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458704412769.png""/></p>
The droplets of water on the inner surface of bottle were formed due to evaporation and condensation. The process of conversion of water vapor into liquid is called condensation.
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/during-summer-boojho-carries-water-in-a-transparent-plastic-i-1nkn9r,Separation of Substances,Multiple Choice Question
"Paheli asked for a glass of water from Boojho. He gave her a glass of ice cold water. Paheli observed some water droplets on the outer surface of water were formed? Which of the following should be Boojho’s answer?
","A. Evaporation of water from the glass.
B. Water that seeped out from the glass.
C. Evaporation of atmospheric water vapor.
D. Condensation of atmospheric water vapor.
","Water droplets on the outer surface are formed due to condensation of atmospheric water vapor. Actually the water vapor present in air on coming in contact with the cold glass of water, loses energy and gets converted to liquid state, which we see as water droplets.
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-asked-for-a-glass-of-water-from-boojho-he-gave-her-a-i-1nkn9s,Separation of Substances,Multiple Choice Question
"Sheela, Salma and Ravi have to dissolve maximum amount of sugar in the family amount of milk so as to win in a game. Ravi took hot boiling milk while Saima took ice cold milk. Sheela managed to get milk at room temperature. Whom do you thick would win the game and why?
",NA,"Ravi would win the game because Ravi took hot boiling milk and hot boiling milk at higher temperature would dissolve more amount of sugar and also solubility increases with temperature. So, Ravi would be able to dissolve maximum amount of sugar in milk.

",Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/sheela-salma-and-ravi-have-to-dissolve-maximum-amount-of-i-1nkn9t,Separation of Substances,Very Short Answer Question
"Fill in the blanks with appropriate words:
(i) Small pieces of stone can be removed from rice by ……………… .
(ii) …………….. are obtained from stalks by threshing.
(iii) Husk from wheat flour is generally removed by ………………. .
(iv) The process of settling of heavier particles is called ………………. .
(v) Filtration is helpful in separating an insoluble ………………. From a ………………….. .
",NA,"(i) Small pieces of stone can be removed from rice by handpicking
Hand picking is the method of separating easily identifiable material from a mixture. The components of the heterogeneous mixture can be separately identified from each other.
(ii) Grains are obtained from stalks by threshing.
The grains are separated from stalk (on which they grow) by the process of threshing. In this process stalks are beaten to separate grains from bundle of stalks. Being soft stalks can be broken and grains can be released.
(iii) Husk from wheat flour is generally removed by sieving.
Sieving is used to separate those solid mixture which have components of different sizes.
(iv) The process of settling of heavier particles is called sedimentation.
The process of settling or being deposited as a sediment.
(v) Filtration is helpful in separating an insoluble solute (solid) from a solution (liquid).
Filtration is any of various mechanical, physical or biological operations that separate solids from fluids (liquids or gases) by adding a medium through which only the fluid can pass.
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/fill-in-the-blanks-with-appropriate-words-i-small-pieces-of-i-1nkn9u,Separation of Substances,Very Short Answer Question
"State whether the following statement are True or false.
(a) A mixture of oil and water can be separated by filtration.
(b)Water can be separated from salt by evaporation.
(c) A mixture of wheat grains and wheat flour can be separated by sieving.
(d) A mixture of iron filing and rice can be separated by magnet.
(e) A mixture of wheat grains and rice flakes can be separated by winnowing.
(f) A mixture of tea leaves and milk can be separated by decantation.
",NA,"A mixture of oil and water can be separated by decantation. Decantation is the process of pouring out the liquid without disturbing the sediment.
(b) true
The process of evaporation for separating a mixture is based on the fact that liquids vaporize easily whereas solids do not.
(c) true
Sieving is used to separate those solid mixture which have components of different sizes.
(d) true
iron gets attracted to the magnets since they are polar particles.
(e) true
winnowing is used to separate heavier and lighter components of a mixture by wind or by blowing air.
(f) true
Decantation is the process of pouring out the liquid without disturbing the sediment.
",Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/state-whether-the-following-statement-are-true-or-false-a-a-i-1nkn9v,Separation of Substances,Very Short Answer Question
"Name and describe briefly a method which can be helpful in separating a mixture of husk from grains. What is the principle of this method?
",NA,"Winnowing is used to separate lighter husk particles from heavier grains by wind or blowing air. The method is based on the fact that husk is very light whereas wheat grains are comparatively heavy. The mixture is allowed to fall from a height by shaking winnowing basket continuously. The husk particles are carried away by wind to a greater distance. The wheat grains, being heavy, fall down vertically to the ground and form a heap of wheat grains.",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/name-and-describe-briefly-a-method-which-can-be-helpful-in-i-1nkn9w,Separation of Substances,Short Answer Questions
"Match the mixture in Column I with their method of separation in Column II.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458705607971.png""/></p>
",NA,"(a) - (iii)
Decantation is the process of pouring out the liquid without disturbing the sediment.
(b) - (iv)
iron gets attracted to the magnets since they are polar particles.
(c) - (v)
The process of evaporation for separating a mixture is based on the fact that liquids vaporize easily whereas solids do not.
(d) - (ii)
Hand picking is the method of separating easily identifiable material from a mixture. The components of the heterogeneous mixture can be separately identified from each other.
(e) - (i)
Sieving is used to separate those solid mixture which have components of different sizes.
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/match-the-mixture-in-column-i-with-their-method-of-i-1nkn9x,Separation of Substances,Short Answer Questions
"Both Sarika and Mohan were asked to make salt solution. Sarika was given a teaspoonful of salt and half a glass of water. Whereas Mohan was given twenty teaspoon full of salt and half a glass of water.
",NA,"Saturation is a point at which a substance cannot dissolve no more of a substance and additional amount of that substance will appear as a precipitate. Mohan’s solution would be saturated because in his case, some salt would remain undissolved and settled at the bottom of the glass.
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/both-sarika-and-mohan-were-asked-to-make-salt-solution-i-1nkn9y,Separation of Substances,Long Answer Questions
"Paheli was feeling thirsty but there was only a pot of water at home which was muddy and unit for drinking. How do you think Paheli would have made this water fit for drinking if the following materials were available to her.
Alum, tub, muslin cloth, gas stove, thread, pan and lid.
",NA,"Paheli can make this water fit for drinking by working on the following sequence:
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458706338224.png""/></p>
",Q. 17,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-was-feeling-thirsty-but-there-was-only-a-pot-of-water-i-1nkn9z,Separation of Substances,Long Answer Questions
"Read the story titled ‘’ WISE FARMER’’ and tick the correct option to complete the story.
A farmer was sad/happy to see his healthy wheat crop ready for harvest. He harvested the crop and left it under the sun/rain to dry the stalks. To separate the seeds from the bundles of the stalk he handpicked/threshed them. After gathering the seed grains he wanted to separate the stones and husk from it. His wife winnowed / threshed them to separate the husk and later sieved/handpicked to remove stones from it. She ground the wheat grains and sieved/filtered the flour. The wise farmer and his wife got a good price for the flour. Can you tell why?
",NA,"1. Happy
2. Sun
3. Threshed
4. Winnowed
5. Handpicked
6. Sieved
They got a good price as they used appropriated methods of separation to get good quality of flour (Atta).
",Q. 18,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-the-story-titled-wise-farmer-and-tick-the-correct-i-1nkna0,Separation of Substances,Long Answer Questions
"You are provided with a mixture of salt, sand, oil and water. Write the steps involved for the separation of salt, sand and oil from the mixture by giving an activity along with the diagram.
",NA,"Steps for the separation of salt, sand, oil and water
First
we will use decantation method to separate oil and water. Water being heavier, forms the lower layer and oil being lighter forms the upper layer in the beaker. We can decant off the upper layer of oil into another beaker carefully.
Then by the process of filtration sand can be separated from water. The filtrate obtained contains the mixture of salt and water. The salt dissolved in water can be separated by the process of evaporation. The water present in the salt solution and then the salt is left behind.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458707303390.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458708497699.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18972/1531458709414814.png""/></p>
",Q. 19,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/you-are-provided-with-a-mixture-of-salt-sand-oil-and-water-i-1nkna1,Separation of Substances,Long Answer Questions
"A mixture of iron nails, salt, oil, and water is provided to you. Give stepwise methods to separate each component from this mixture?
",NA,"Steps for the separation of iron nails, salt, oil, and water
Iron nails are separated from the mixture by using magnets. Then by using decantation oil and water is separated. Oil being lighter forms the upper layer in the beaker and we can decant off the upper layer of oil.
Now the mixture contains dissolved salt and water. Salt can be obtained from the water by the process of evaporation. The water present in the salt solution will form water vapor and then the salt is left behind.
",Q. 20,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-mixture-of-iron-nails-salt-oil-and-water-is-provided-to-i-1nkna2,Separation of Substances,Long Answer Questions
"Pick the change that can be reversed from the following
","A. Cutting of trees
B. Melting of ghee
C. burning of candle
D. Blooming of flower
","All the other options include physical as well as chemical change, and hence cannot be reversed back.
● When we cut trees, they are physically separated into two parts, and also the chemical bonds are broken, changing their chemical properties.
● The burning of a candle decreases it’s length as a physical change and involves combustion as a chemical change.
● Blooming of a flower changes its physical state from bud to an open flower and has the role of some chemical substances, which can not be changed back to original form.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/pick-the-change-that-can-be-reversed-from-the-followinga-i-1nkna3,Changes Around Us,Multiple Choice Question
"Which of the following change cannot be reversed?
","A. Hardening of cement
B. Freezing of ice cream
C. Opening a door
D. Melting of chocolate
","cement is mixed with water, it hardens. This is because of formation of new structures, called crystals, which after a fixed time get attached to each other, providing strength and hardening the cement. Therefore, as hardening of cement includes a change in its physical state and it’s chemical properties, it cannot be reversed back.
● A frozen ice- cream melts when kept in a warm room, a door can be closed after it is opened and a melted chocolate can be frozen back when kept in a refrigerator.
● As all these changes can be undone, or the items used can be brought back to their original state, they are said to be reversed.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-change-cannot-be-reversed-a-hardening-i-1nkna4,Changes Around Us,Multiple Choice Question
"An iron ring is heated. Which of the following statement about it is incorrect?
","A. The ring expands.
B. The ring almost comes to the same size on cooling.
C. The change, in this case, is reversed.
D. The ring changes its shape and the change cannot be reversed.
","the example of a wooden wheel in which an iron rim ( ring ) has to be fit. The iron ring is made a bit smaller than the wheel. The ring, when heated, expands and gets bigger in size to fit on the wooden wheel. When the ring cools down, it contracts, that means it’s size reduces back to its original size and therefore it gets tightly fixed over the wheel. As there is change only in the physical property of shape, the change can be reversed.
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/an-iron-ring-is-heated-which-of-the-following-statement-i-1nkna5,Changes Around Us,Multiple Choice Question
"While lighting a candle, Paheli observed the following changes
(i) Wax was melting.
(ii) Candle was burning.
(iii) Size of the candle was reducing.
(iv) Melted wax was getting solidified.
Of the above, the changes that can be reversed are
","A. (i) and (ii)
B. (ii) and (iii)
C. (iii) and (iv)
D. (i) and (iv)
","Melting of wax is a physical change where the physical state of wax changes from solid to liquid. The melted wax that solidifies, can be changed to a liquid state on heating. These two are physical changes and thus, can be reversed.
● Burning of candle is a chemical change which involves breaking of chemical bonds in a process called combustion.
● The size of the burning candle reduces due to this change and cannot be reversed immediately.
● These two changes involve changes in chemical properties and thus cannot be reversed.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/while-lighting-a-candle-paheli-observed-the-following-i-1nkna6,Changes Around Us,Multiple Choice Question
"Salt can be separated from its solution (salt dissolved in water), because
","A. mixing of salt in water is a change that can be reversed
B. mixing of salt in water is a change that cannot be reversed.
C. mixing of salt in water is a permanent change.
D. mixing of salt in water is a change that can be reversed by evaporation.
","When salt and water solution is heated, the water particles get evaporated and we get only salt left in the container. By this method, we can separate salt from its solution. Thus, the mixing of salt in water can be reversed by evaporation.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/salt-can-be-separated-from-its-solution-salt-dissolved-in-i-1nkna7,Changes Around Us,Multiple Choice Question
"Rolling of chapatti and baking of chapatti are the changes that
","A. can be reversed.
B. cannot be reversed.
C. can be reversed and cannot be reversed, respectively.
D. cannot be reversed and can be reversed, respectively.
","When a chapatti is rolled from a dough, only it’s shape changes from spherical to a flat round one. There is no change in its chemical properties and hence, the change can be reversed.
When a chapatti is baked, heat brings about chemical changes in its properties. Therefore, baking of chapatti is a change which cannot be reversed.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/rolling-of-chapatti-and-baking-of-chapatti-are-the-changes-i-1nkna8,Changes Around Us,Multiple Choice Question
"Iron rim is made slightly smaller than the wooden wheel. The rim is usually heated before fixing into the wooden wheel, because on heating the iron rim
","A. expands and fits onto the wooden wheel.
B. contracts and fits onto the wooden wheel.
C. no change in the size takes place.
D. expands first, then on cooling contracts and fits onto the wooden wheel.
","The iron rim is generally made slightly smaller than the wooden wheel. When heated, the metal expands, and increases in size, being able to fit on the wheel. As the metal cools down, it comes back to its original state and regains it’s size, fitting tightly onto the wooden wheel.
This is an example of physical, reversible change.
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/iron-rim-is-made-slightly-smaller-than-the-wooden-wheel-the-i-1nkna9,Changes Around Us,Multiple Choice Question
"Look at Fig. 6.1 which shows three situations (a) a burning candle (b) an extinguished candle (c) melting the wax.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18974/1531459357232559.jpg""/></p>
Which of these shows a reversible change and why?
",NA,"(c) Melting wax shows a reversible change. This is because it is a physical process, where only the physical state of wax changes from solid to liquid, and can be reversed back on cooling.
● A burning candle(a) and (b) an extinguished candle show irreversible changes. This is because these involve a change in chemical properties of the candle and wax. When a candle is burned, the wax around the wick melts and is converted to fumes. This change is chemical in nature and therefore cannot be reversed.
● Similarly, an extinguished candle can be lightened up again, but that will be the start of a new combustion process, not the reversal of fumes that were produced during burning to flame again. Thus, this change also cannot be reversed.
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/look-at-fig-6-1-which-shows-three-situations-a-a-burning-i-1nknaa,Changes Around Us,Very Short Answer Question
"A piece of iron is heated till it becomes red-hot. It then becomes soft and is beaten to the desired shape. What kind of changes are observed in this process-reversible or irreversible?
",NA,"The changes during this process are reversible in nature.
A piece of iron when heated, becomes red -hot and soft. There is change only in its physical state, from solid and hard, to flexible and soft. Then, it is beaten to desired shape, in which again, there is change only in its physical form or shape. This piece of iron can be re -heated and molded back to its original shape.
Thus, the changes are reversible.
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-piece-of-iron-is-heated-till-it-becomes-red-hot-it-then-i-1nknab,Changes Around Us,Very Short Answer Question
"Paheli had bought a new bottle of from the market. She tried to open the metal cap to taste it but could not do so. She then took a bowl a bowl of hot water and immersed the upper end of the bottle in it for five minutes. She could easily open the bottle now. Can you give the reason for this?
",NA,"Paheli could do so because of the reversible change occurring in the metal cap, on the application of warm water. When Paheli first tried, the metal cap was fit tightly on the bottle. On immersion in hot water, the metal expanded and the cap became loose, making it easy for her to open the cap.
This expansion of metal on heating is a reversible change, and the metal cap will come back to its original size on cooling.
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-had-bought-a-new-bottle-of-from-the-market-she-tried-i-1nknac,Changes Around Us,Very Short Answer Question
"Can we reverse the following changes? If yes, suggest the name of the method.
(a) Water into water vapour
(b) Water vapour into water.
(c) Ice into the water.
(d) Curd into milk.
",NA,"(a) Yes, the change of water into water vapour can be reversed. The process used here is condensation, which is the cooling of vapours to give liquid state water.
(b) Yes, the change of water vapour into water can be reversed. This can be done by evaporation. Water vapour, once changed to water, can be heated again to give vapours or gaseous state of water.
(c) Yes, Melting of ice changes its state from solid form to liquid form. On cooling, or refrigeration, this water can be changed back to the ice. Therefore, it is a reversible change.
(d) No, Changing of curd into milk is a chemical change which involves the
use of bacteria. The milk once made into curd, cannot be brought back in milk or liquid form.
",Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/can-we-reverse-the-following-changes-if-yes-suggest-the-name-i-1nknad,Changes Around Us,Short Answer Questions
"Which of the following changes cannot be reversed?
(a) Blowing of a balloon
(b) Folding a paper to make a toy airplane
(c) Rolling a ball of dough to make roti
(d) Baking cake in an oven
(e) Drying a wet cloth
(f) Making biogas from cow dung
(g) Burning of a candle
",NA,"(a) Can be reversed
(b) Can be reversed
(c) Can be reversed
(d) Cannot be reversed
(e) Can be reversed
(f) Cannot be reversed
(g) Cannot be reversed
Therefore, from the given options, the changes which cannot be reversed are (d), (f) and (g).
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-changes-cannot-be-reversed-a-blowing-i-1nknae,Changes Around Us,Short Answer Questions
"Boojho’s sister broke a white dove, a symbol of peace, made of plaster of paris (POP). Boojho tried to reconstruct the toy by making a powder of the broken pieces and then making a paste by mixing water. Will he be successful in his effort? Justify your answer.
",NA,"No, he will not be successful in his effort. When a toy is made from plaster of Paris, the POP hardens because of formation of new chemical structures, that is a chemical change, which cannot be reversed. The properties of the original pop change and hence it cannot be brought back to its original form. Therefore, Boojho will not be able to fix the broken pieces back by using water and powder.
",Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/boojho-s-sister-broke-a-white-dove-a-symbol-of-peace-made-of-i-1nknaf,Changes Around Us,Short Answer Questions
"Tearing of paper is said to change that cannot be reversed.
What about paper recycling?
",NA,"In paper recycling, the old, waste paper is used to make a new type of paper. In this, the original form, shape, size, and texture of paper are replaced by new shape, size and texture. Therefore, tearing of paper remains a change which cannot be reversed, as the actual form of torn paper used in recycling is not got back.
",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/tearing-of-paper-is-said-to-change-that-cannot-be-reversed-i-1nknag,Changes Around Us,Short Answer Questions
"Give one example in each case
(a) Change which occurs on heating but can be reversed.
(b) Change which occurs on heating but cannot be reversed.
(c) Change which occurs by mixing two substances, but can be reversed.
(d) Change which occurs by mixing two substances, but cannot be reversed.
",NA,"(a) Expansion of metal rim on heating, which contracts back on cooling down.
(b) Baking of a cake, which requires heating, but the contents cannot be got back in their original form.
(c) Mixing of salt in water. The substances can be separated by evaporation of water.
(d) Mixing of sugar in milk. These substances cannot be separated
out, once mixed together.
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/give-one-example-in-each-case-a-change-which-occurs-on-i-1nknah,Changes Around Us,Long Answer Questions
"A potter working on his wheel-shaped a lump of clay into a pot. He then baked the pot in an oven. Do these two acts lead to the same kind of changes or different? Give your opinion and justify your answer.
",NA,"No, these two actions lead to two different types of changes.
1. The shaping of clay into a pot is a physical change, only in the shape of the clay. This change can be reversed.
2. Baking of pot in the oven brings about a change in the chemical properties of the clay, and therefore this change cannot be reversed.
Hence, the first action is reversible, whereas the second action is a non – reversible change.
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-potter-working-on-his-wheel-shaped-a-lump-of-clay-into-a-i-1nknai,Changes Around Us,Long Answer Questions
